X_W,Y_W,Z_W,x_z,y_z
0,0,0,459,1256
1,0,0,562,1194
0,2,0,348,1060
3,3,0,582,831
0,1,0,403,1060
2,1,0,604,1040
3,1,0,693,982
2,2,0,548,955
