X_W,Y_W,Z_W,x_z,y_z
2,6,0,1484,2221
4,0,3,1626,1089
0,6,4,2234,2282
0,7,7,2711,2531
8,8,0,551,2627
0,4,2,1999,1924
7,1,0,776,1253
0,3,2,2018,1771
7,6,0,762,2226
4,6,0,1219,2220
1,0,2,1882,1192
0,3,7,2758,1754
3,1,0,1398,1379
4,4,0,1239,1873
1,1,0,1657,1428
2,0,7,2516,1089
0,2,3,2142,1588
6,0,5,1608,892
3,3,0,1386,1716
0,2,5,2421,1576
